IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
156128621,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,21:00,NORTHERN,NONE,HOLLIS ST / ELLIS ST,-122.43005356191,37.7826724016215,"(37.7826724016215, -122.43005356191)",15612862128150
150466695,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,05/28/2015,20:45,NORTHERN,NONE,1300 Block of POLK ST,-122.420379009339,37.7894014789877,"(37.7894014789877, -122.420379009339)",15046669528100
150466855,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:40,MISSION,NONE,600 Block of ALABAMA ST,-122.412056242405,37.7609899089142,"(37.7609899089142, -122.412056242405)",15046685506244
150467182,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,20:30,SOUTHERN,NONE,BRYANT ST / BEALE ST,-122.389639531543,37.7862250418081,"(37.7862250418081, -122.389639531543)",15046718207021
156128706,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:30,NORTHERN,NONE,FRANKLIN ST / MCALLISTER ST,-122.421893134467,37.779891233614,"(37.779891233614, -122.421893134467)",15612870606244
156131420,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:25,BAYVIEW,NONE,24TH ST / ILLINOIS ST,-122.386942103872,37.7541679837666,"(37.7541679837666, -122.386942103872)",15613142006244
150469558,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,20:15,SOUTHERN,NONE,700 Block of MARKET ST,-122.403919148357,37.7871160984672,"(37.7871160984672, -122.403919148357)",15046955806373
150469558,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,05/28/2015,20:15,SOUTHERN,NONE,700 Block of MARKET ST,-122.403919148357,37.7871160984672,"(37.7871160984672, -122.403919148357)",15046955809320
156128126,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:15,PARK,NONE,700 Block of HAIGHT ST,-122.434580561451,37.7716361114909,"(37.7716361114909, -122.434580561451)",15612812606244
150466617,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,20:08,TARAVAL,"ARREST, BOOKED",19TH AV / TARAVAL ST,-122.475644251197,37.7430505534925,"(37.7430505534925, -122.475644251197)",15046661765016
150466598,TRESPASS,TRESPASSING,Thursday,05/28/2015,20:05,SOUTHERN,NONE,700 Block of HOWARD ST,-122.401658663476,37.7841666882161,"(37.7841666882161, -122.401658663476)",15046659827195
150466980,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:00,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.397713226445,37.7774696662398,"(37.7774696662398, -122.397713226445)",15046698006244
156128897,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,20:00,TARAVAL,NONE,3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)",15612889771000
150466736,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:00,CENTRAL,NONE,POWELL ST / NORTHPOINT ST,-122.412143310586,37.8067579023106,"(37.8067579023106, -122.412143310586)",15046673606244
156128546,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,20:00,RICHMOND,NONE,JACKSON ST / WALNUT ST,-122.44919029937,37.7906065941409,"(37.7906065941409, -122.44919029937)",15612854628150
156128596,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,05/28/2015,20:00,NORTHERN,NONE,ELLIS ST / LARKIN ST,-122.417710344726,37.7842362877887,"(37.7842362877887, -122.417710344726)",15612859606224
150466554,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,19:53,MISSION,"ARREST, BOOKED",2900 Block of 16TH ST,-122.41920245941,37.7650244301204,"(37.7650244301204, -122.41920245941)",15046655462050
150466651,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:30,CENTRAL,NONE,GRANT AV / BEACH ST,-122.40905521632,37.8081099573456,"(37.8081099573456, -122.40905521632)",15046665106244
150466491,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,19:25,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,"(37.7850290611875, -122.400473580152)",15046649130200
